Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
tuesday,31-50,male,Basic Education,employee,Experienced,Public Transport,owner,unknown,no defect,Other,undivided two way,Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,na,Not Involved,Negligence,slight injury
tuesday,31-50,male,Basic Education,employee,New Driver,Other,owner,2-5yrs,no defect,Urban/Residential,double carriageway (median),Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
wednesday,unknown,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Priority Violation,slight injury
wednesday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,5-10yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,2,Not Involved,Priority Violation,slight injury
saturday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Priority Violation,slight injury
saturday,31-50,male,Basic Education,employee,Veteran,Heavy Vehicle,owner,unknown,no defect,Leisure/Public Space,two-way (divided with broken lines road marking),Straight Road,y shape,earth roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
friday,unknown,male,Higher Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Animal Collision,2,1,Vehicle Exit/Loss of Control,3,Not Involved,Negligence,slight injury
friday,under 18,male,Basic Education,employee,Veteran,Heavy Vehicle,owner,unknown,no defect,Other,other,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Animal Collision,2,1,Reversing,3,Not Involved,Negligence,slight injury
tuesday,under 18,male,Basic Education,employee,Veteran,Public Transport,owner,5-10yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,dry,daylight,Clear,Animal Collision,2,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
tuesday,under 18,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,double carriageway (median),Straight Road,crossing,asphalt roads,dry,daylight,Clear,Animal Collision,2,1,Reversing,na,Not Involved,Lane Violation,slight injury
thursday,unknown,male,Basic Education,employee,Veteran,Private Vehicle,owner,2-5yrs,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Animal Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
thursday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,2-5yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Animal Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
saturday,unknown,female,Basic Education,employee,Intermediate,Private Vehicle,owner,above 10yr,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Animal Collision,1,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
sunday,over 51,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,one way,Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Animal Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
sunday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,double carriageway (median),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Animal Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
saturday,18-30,male,Basic Education,employee,Intermediate,Private Vehicle,governmental,below 1yr,no defect,Leisure/Public Space,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Animal Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
saturday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Public/Institutional,double carriageway (median),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Animal Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
friday,over 51,male,Basic Education,employee,New Driver,Public Transport,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Animal Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
friday,under 18,male,Basic Education,employee,Experienced,Public Transport,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Other,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
friday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,other,Steep/Sloped Terrain,y shape,asphalt roads,dry,daylight,Clear,Rollover/Fall,2,2,Moving Forward,3,Not Involved,Priority Violation,slight injury
friday,18-30,male,Low Education,employee,New Driver,Public Transport,owner,unknown,no defect,Public/Institutional,other,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Animal Collision,2,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
thursday,18-30,male,Basic Education,employee,New Driver,Public Transport,owner,1-2yr,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,other,earth roads,dry,daylight,Clear,Rollover/Fall,2,3,Other,3,Other,Negligence,slight injury
thursday,31-50,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,above 10yr,no defect,Other,other,Straight Road,other,asphalt roads,dry,daylight,Clear,Animal Collision,2,3,Other,na,Not Involved,Negligence,slight injury
thursday,31-50,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,other,asphalt roads,dry,daylight,Clear,Animal Collision,2,3,Moving Forward,3,Not Involved,Negligence,slight injury
sunday,18-30,male,Basic Education,employee,Veteran,Heavy Vehicle,organization,2-5yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,4,1,Moving Forward,2,Crossing,Lane Violation,slight injury
sunday,over 51,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Rollover/Fall,4,1,Vehicle Exit/Loss of Control,na,Not Involved,Speed Violation,slight injury
sunday,unknown,male,Higher Education,employee,Intermediate,Private Vehicle,owner,5-10yrs,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,4,1,Moving Forward,3,Not Involved,Negligence,slight injury
sunday,unknown,male,Basic Education,employee,Intermediate,Private Vehicle,owner,5-10yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,4,1,Moving Forward,2,Not Involved,Negligence,slight injury
tuesday,unknown,male,Higher Education,employee,Veteran,Private Vehicle,owner,2-5yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Rollover/Fall,3,1,Moving Forward,na,Not Involved,Negligence,slight injury
tuesday,unknown,female,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Animal Collision,3,1,Moving Forward,na,Not Involved,Speed Violation,slight injury
tuesday,31-50,male,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Animal Collision,3,1,Moving Forward,na,Not Involved,Negligence,slight injury
tuesday,31-50,male,Higher Education,employee,New Driver,Private Vehicle,owner,above 10yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Rollover/Fall,1,1,Vehicle Exit/Loss of Control,na,Not Involved,Negligence,slight injury
monday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,t shape,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,31-50,male,Basic Education,employee,New Driver,Other,owner,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,no junction,gravel roads,wet or damp,daylight,Other,Animal Collision,3,2,Moving Forward,na,Not Involved,Negligence,slight injury
wednesday,31-50,male,Basic Education,employee,New Driver,Other,owner,unknown,no defect,Commercial/Workplace,other,Straight Road,no junction,asphalt roads,wet or damp,daylight,Other,Animal Collision,3,2,Other,3,Not Involved,Lane Violation,slight injury
wednesday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,other,Straight Road,no junction,asphalt roads,wet or damp,daylight,Other,Human Collision,3,2,Moving Forward,na,Not Involved,Lane Violation,slight injury
thursday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Leisure/Public Space,two-way (divided with broken lines road marking),Straight Road,t shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,governmental,5-10yrs,no defect,Other,other,Straight Road,t shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
saturday,18-30,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Human Collision,4,3,Moving Forward,3,Not Involved,Lane Violation,severe injury
saturday,18-30,male,Higher Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Other,one way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,4,3,Moving Forward,3,Not Involved,Substance Abuse,severe injury
saturday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,above 10yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Object Collision,4,3,Reversing,na,Not Involved,Lane Violation,severe injury
saturday,unknown,male,Basic Education,employee,New Driver,Public Transport,owner,5-10yrs,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,4,3,Other,3,Not Involved,Lane Violation,severe injury
saturday,unknown,male,Higher Education,employee,Veteran,Public Transport,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,4,3,Moving Forward,na,Not Involved,Negligence,severe injury
tuesday,18-30,male,Basic Education,owner,Experienced,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Straight Road,no junction,asphalt roads,wet or damp,daylight,Other,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
tuesday,31-50,male,Basic Education,employee,New Driver,Heavy Vehicle,organization,5-10yrs,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,daylight,Other,Rollover/Fall,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
wednesday,18-30,male,Basic Education,employee,Experienced,Public Transport,organization,2-5yrs,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,unknown,male,Basic Education,owner,Experienced,Other,owner,unknown,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,31-50,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Public/Institutional,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
thursday,over 51,male,Basic Education,employee,Veteran,Private Vehicle,owner,5-10yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Human Collision,3,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
sunday,unknown,female,Basic Education,employee,Experienced,Other,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,1,Moving Forward,2,Not Involved,Negligence,severe injury
saturday,18-30,male,Higher Education,employee,New Driver,Two Wheeler,owner,unknown,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,2,4,Moving Forward,3,Not Involved,Negligence,slight injury
saturday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Other,undivided two way,Straight Road,no junction,other,dry,darkness - lights lit,Clear,Vehicle Collision,2,4,Reversing,3,Not Involved,Speed Violation,slight injury
saturday,18-30,male,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Public/Institutional,one way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Rollover/Fall,2,4,Reversing,3,Not Involved,Negligence,slight injury
saturday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,4,Vehicle Exit/Loss of Control,3,Not Involved,Lane Violation,slight injury
friday,31-50,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Other,other,Steep/Sloped Terrain,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,4,1,Other,na,Not Involved,Substance Abuse,slight injury
friday,unknown,female,Basic Education,employee,Experienced,Public Transport,owner,2-5yrs,no defect,Other,other,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,4,1,Other,3,Not Involved,Negligence,slight injury
friday,unknown,female,Basic Education,owner,Experienced,Heavy Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,4,1,Moving Forward,3,Not Involved,Negligence,slight injury
friday,unknown,female,Basic Education,employee,New Driver,Public Transport,owner,2-5yrs,no defect,Other,one way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,4,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
saturday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Other,3,Not Involved,Lane Violation,slight injury
saturday,over 51,male,Basic Education,employee,Veteran,Heavy Vehicle,governmental,2-5yrs,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Other,na,Not Involved,Negligence,slight injury
thursday,under 18,male,Basic Education,owner,New Driver,Heavy Vehicle,owner,2-5yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Other,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Speed Violation,slight injury
thursday,unknown,male,Basic Education,employee,Experienced,Public Transport,owner,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Other,Object Collision,2,1,Reversing,2,Not Involved,Lane Violation,slight injury
sunday,unknown,male,Basic Education,employee,Veteran,Public Transport,owner,2-5yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,crossing,earth roads,dry,daylight,Clear,Object Collision,2,1,Other,3,Not Involved,Priority Violation,severe injury
sunday,31-50,male,Basic Education,owner,Intermediate,Private Vehicle,owner,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Negligence,severe injury
thursday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,1-2yr,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Vehicle Loss of Control,slight injury
wednesday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Negligence,slight injury
wednesday,under 18,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
wednesday,under 18,male,Higher Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,earth roads,dry,darkness - lights lit,Clear,Object Collision,2,2,Moving Forward,3,Not Involved,Negligence,slight injury
monday,18-30,male,Basic Education,employee,Experienced,Public Transport,owner,above 10yr,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Lane Violation,severe injury
monday,under 18,male,Basic Education,employee,New Driver,Public Transport,owner,unknown,no defect,Public/Institutional,double carriageway (median),Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,severe injury
monday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Public/Institutional,undivided two way,Straight Road,no junction,earth roads,wet or damp,daylight,Rain,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
wednesday,over 51,male,Basic Education,employee,New Driver,Private Vehicle,owner,2-5yrs,no defect,Urban/Residential,double carriageway (median),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
wednesday,18-30,male,Basic Education,owner,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
saturday,under 18,male,Higher Education,owner,New Driver,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Other,na,Not Involved,Priority Violation,slight injury
saturday,unknown,male,Basic Education,owner,Experienced,Heavy Vehicle,governmental,5-10yrs,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,other,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
thursday,under 18,male,Basic Education,employee,Experienced,Public Transport,owner,2-5yrs,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Priority Violation,slight injury
thursday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,other,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Human Collision,2,2,Reversing,na,Not Involved,Lane Violation,slight injury
friday,31-50,male,Higher Education,owner,New Driver,Other,owner,2-5yrs,no defect,Urban/Residential,one way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
friday,unknown,male,Basic Education,employee,Veteran,Private Vehicle,owner,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Reversing,3,Not Involved,Negligence,slight injury
friday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,governmental,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,2,Other,3,Not Involved,Priority Violation,severe injury
friday,over 51,male,Basic Education,employee,New Driver,Public Transport,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Rollover/Fall,3,2,Moving Forward,na,Not Involved,Negligence,severe injury
friday,unknown,female,Basic Education,employee,Veteran,Other,owner,5-10yrs,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,2,Reversing,3,Not Involved,Negligence,severe injury
tuesday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,2-5yrs,no defect,Other,undivided two way,Steep/Sloped Terrain,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
sunday,31-50,male,Basic Education,owner,Veteran,Private Vehicle,owner,1-2yr,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads with some distress,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Other,na,Not Involved,Lane Violation,slight injury
sunday,31-50,male,Basic Education,employee,Experienced,Public Transport,organization,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Other,3,Not Involved,Negligence,slight injury
sunday,unknown,female,Basic Education,employee,New Driver,Private Vehicle,governmental,1-2yr,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Other,na,Not Involved,Vehicle Loss of Control,slight injury
wednesday,31-50,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Stopped,3,Not Involved,Priority Violation,slight injury
wednesday,unknown,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,2-5yrs,no defect,Other,double carriageway (median),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Other,3,Not Involved,Negligence,slight injury
wednesday,31-50,male,Higher Education,employee,Intermediate,Public Transport,owner,unknown,7,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Other,na,Not Involved,Substance Abuse,slight injury
saturday,31-50,male,Higher Education,owner,Veteran,Heavy Vehicle,governmental,1-2yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,1,1,Other,3,Not Involved,Negligence,slight injury
friday,18-30,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Other,other,Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
friday,18-30,male,Basic Education,employee,Veteran,Heavy Vehicle,organization,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Speed Violation,slight injury
wednesday,18-30,male,Higher Education,employee,Intermediate,Public Transport,owner,above 10yr,no defect,Other,other,Steep/Sloped Terrain,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Substance Abuse,slight injury
wednesday,31-50,male,Basic Education,other,Unlicensed/Unknown,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
saturday,31-50,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,one way,Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Human Collision,2,4,Moving Forward,na,Not Involved,Negligence,slight injury
saturday,31-50,male,Basic Education,owner,Experienced,Two Wheeler,owner,above 10yr,no defect,Public/Institutional,other,Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,4,Moving Forward,3,Not Involved,Priority Violation,slight injury
saturday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,4,Moving Forward,3,Crossing,Speed Violation,slight injury
saturday,18-30,male,Basic Education,employee,Veteran,Animal Vehicle,owner,above 10yr,no defect,Commercial/Workplace,other,Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,2,4,Moving Forward,3,Not Involved,Substance Abuse,slight injury
sunday,unknown,female,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
sunday,over 51,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,one way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
tuesday,18-30,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,2-5yrs,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
tuesday,under 18,male,Higher Education,employee,New Driver,Public Transport,owner,above 10yr,no defect,Urban/Residential,other,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Reversing,3,Not Involved,Lane Violation,slight injury
sunday,unknown,female,Basic Education,employee,New Driver,Private Vehicle,owner,5-10yrs,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
sunday,31-50,male,Basic Education,employee,Veteran,Private Vehicle,owner,5-10yrs,no defect,Commercial/Workplace,double carriageway (median),Straight Road,no junction,gravel roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Other,na,Not Involved,Negligence,slight injury
saturday,31-50,male,Basic Education,employee,Veteran,Public Transport,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Steep/Sloped Terrain,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Speed Violation,slight injury
saturday,18-30,male,Basic Education,employee,Veteran,Private Vehicle,governmental,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,other,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,3,Crossing,Negligence,slight injury
friday,unknown,male,Basic Education,employee,Veteran,Private Vehicle,governmental,below 1yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,daylight,Other,Vehicle Collision,1,1,Moving Forward,3,Crossing,Negligence,slight injury
